t,x,y,z,tx1,tx2,tx3,tx4,tx5,tx6,tx7,tx8,tx9,tx10,tx11,tx12,tx13,tx14,tx15,tx16,tx17,tx18,tx19,tx20,tx21,tx22,tx23,tx24,tx25
1667897339288.0,194.4,-93.76,98.2,-61.0,-255.0,-255.0,-60.0,-255.0,-255.0,-64.0,-255.0,-255.0,-255.0,-62.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0,-76.0,-255.0,-255.0,-255.0,-63.0,-255.0,-255.0,-65.0
1667897339403.0,182.57,-87.43,94.38,-60.0,-255.0,-255.0,-255.0,-48.0,-255.0,-255.0,-64.0,-255.0,-255.0,-255.0,-72.0,-255.0,-255.0,-73.0,-255.0,-255.0,-255.0,-74.0,-255.0,-255.0,-255.0,-68.0,-255.0,-255.0
1667897339521.0,165.12,-80.96,93.64,-60.0,-55.0,-255.0,-255.0,-53.0,-255.0,-255.0,-66.0,-64.0,-255.0,-255.0,-69.0,-255.0,-255.0,-255.0,-255.0,-255.0,-77.0,-255.0,-255.0,-73.0,-255.0,-255.0,-67.0,-255.0
1667897339864.0,109.8,-63.59,97.87,-62.0,-59.0,-66.0,-59.0,-48.0,-74.0,-63.0,-64.0,-63.0,-63.0,-68.0,-70.0,-71.0,-67.0,-69.0,-71.0,-73.0,-73.0,-76.0,-74.0,-255.0,-255.0,-65.0,-255.0,-255.0
1667897340196.0,48.32,-45.44,100.69,-62.0,-61.0,-69.0,-57.0,-50.0,-67.0,-64.0,-63.0,-61.0,-63.0,-65.0,-62.0,-67.0,-66.0,-74.0,-64.0,-69.0,-65.0,-72.0,-66.0,-68.0,-63.0,-255.0,-255.0,-65.0
1667897340533.0,26.51,-27.46,95.34,-60.0,-62.0,-62.0,-58.0,-50.0,-67.0,-63.0,-64.0,-69.0,-62.0,-68.0,-52.0,-70.0,-66.0,-69.0,-75.0,-76.0,-71.0,-74.0,-56.0,-66.0,-255.0,-255.0,-255.0,-64.0
1667897340870.0,-44.46,-5.86,101.61,-63.0,-64.0,-69.0,-58.0,-44.0,-65.0,-62.0,-60.0,-61.0,-60.0,-64.0,-59.0,-68.0,-65.0,-71.0,-62.0,-69.0,-73.0,-75.0,-77.0,-255.0,-255.0,-62.0,-255.0,-255.0
1667897341209.0,-80.46,10.64,98.43,-64.0,-69.0,-69.0,-56.0,-56.0,-72.0,-61.0,-58.0,-62.0,-61.0,-63.0,-65.0,-69.0,-65.0,-67.0,-51.0,-76.0,-75.0,-74.0,-72.0,-72.0,-64.0,-255.0,-255.0,-255.0
1667897341546.0,-115.36,31.04,93.39,-63.0,-67.0,-67.0,-56.0,-46.0,-72.0,-54.0,-57.0,-62.0,-61.0,-65.0,-68.0,-66.0,-55.0,-72.0,-77.0,-75.0,-75.0,-75.0,-72.0,-68.0,-255.0,-255.0,-68.0,-255.0
1667897341884.0,-196.06,47.55,102.16,-68.0,-66.0,-72.0,-46.0,-54.0,-73.0,-59.0,-55.0,-61.0,-64.0,-50.0,-59.0,-65.0,-64.0,-69.0,-66.0,-76.0,-74.0,-74.0,-76.0,-255.0,-55.0,-255.0,-255.0,-66.0
1667897342224.0,-225.09,59.0,99.21,-66.0,-65.0,-60.0,-61.0,-51.0,-73.0,-60.0,-53.0,-68.0,-57.0,-66.0,-65.0,-65.0,-63.0,-64.0,-67.0,-75.0,-74.0,-76.0,-63.0,-71.0,-255.0,-255.0,-69.0,-255.0
1667897342559.0,-282.3,64.9,96.41,-68.0,-71.0,-72.0,-61.0,-46.0,-71.0,-59.0,-53.0,-54.0,-59.0,-65.0,-65.0,-63.0,-63.0,-64.0,-72.0,-72.0,-74.0,-75.0,-71.0,-61.0,-255.0,-64.0,-255.0,-255.0
1667897342894.0,-356.66,48.91,100.86,-66.0,-67.0,-62.0,-61.0,-56.0,-75.0,-57.0,-45.0,-57.0,-66.0,-65.0,-66.0,-64.0,-62.0,-70.0,-71.0,-57.0,-76.0,-76.0,-77.0,-76.0,-255.0,-255.0,-74.0,-255.0
1667897343226.0,-388.72,47.06,96.53,-66.0,-64.0,-73.0,-61.0,-35.0,-74.0,-59.0,-48.0,-43.0,-68.0,-66.0,-65.0,-64.0,-62.0,-66.0,-67.0,-75.0,-74.0,-76.0,-78.0,-255.0,-255.0,-65.0,-255.0,-255.0
1667897343561.0,-454.47,7.19,100.89,-64.0,-79.0,-82.0,-63.0,-74.0,-83.0,-45.0,-42.0,-60.0,-61.0,-66.0,-64.0,-62.0,-61.0,-66.0,-67.0,-65.0,-71.0,-80.0,-86.0,-255.0,-81.0,-255.0,-255.0,-72.0
1667897343893.0,-494.01,-25.74,98.44,-75.0,-79.0,-83.0,-65.0,-70.0,-81.0,-60.0,-40.0,-57.0,-70.0,-68.0,-65.0,-62.0,-59.0,-65.0,-71.0,-68.0,-53.0,-255.0,-255.0,-79.0,-255.0,-255.0,-52.0,-255.0
1667897344229.0,-525.79,-49.33,93.57,-68.0,-81.0,-82.0,-66.0,-76.0,-81.0,-57.0,-43.0,-59.0,-71.0,-65.0,-65.0,-62.0,-60.0,-65.0,-64.0,-67.0,-75.0,-82.0,-79.0,-255.0,-82.0,-255.0,-67.0,-255.0
1667897344569.0,-566.02,-122.33,101.88,-76.0,-80.0,-78.0,-70.0,-77.0,-71.0,-62.0,-49.0,-58.0,-74.0,-70.0,-69.0,-63.0,-57.0,-61.0,-65.0,-67.0,-65.0,-66.0,-68.0,-78.0,-255.0,-79.0,-255.0,-255.0
1667897344906.0,-584.67,-154.25,99.8,-79.0,-81.0,-81.0,-64.0,-74.0,-63.0,-62.0,-50.0,-55.0,-48.0,-67.0,-59.0,-51.0,-58.0,-60.0,-66.0,-66.0,-61.0,-64.0,-81.0,-255.0,-255.0,-79.0,-255.0,-69.0
1667897345242.0,-604.92,-199.15,94.56,-65.0,-83.0,-85.0,-72.0,-79.0,-79.0,-63.0,-53.0,-56.0,-68.0,-70.0,-67.0,-60.0,-58.0,-59.0,-45.0,-61.0,-65.0,-80.0,-79.0,-255.0,-74.0,-255.0,-255.0,-72.0
1667897345575.0,-612.09,-278.16,101.37,-82.0,-76.0,-62.0,-75.0,-73.0,-68.0,-57.0,-62.0,-51.0,-61.0,-65.0,-77.0,-67.0,-59.0,-58.0,-64.0,-47.0,-65.0,-71.0,-68.0,-78.0,-255.0,-79.0,-255.0,-255.0
1667897345915.0,-621.46,-304.75,98.07,-84.0,-81.0,-82.0,-68.0,-75.0,-75.0,-64.0,-52.0,-49.0,-73.0,-57.0,-58.0,-65.0,-60.0,-57.0,-61.0,-59.0,-67.0,-255.0,-65.0,-255.0,-255.0,-78.0,-255.0,-255.0
1667897346249.0,-620.29,-373.97,99.36,-86.0,-83.0,-74.0,-81.0,-81.0,-55.0,-65.0,-63.0,-53.0,-55.0,-59.0,-73.0,-66.0,-60.0,-57.0,-62.0,-62.0,-49.0,-63.0,-67.0,-255.0,-255.0,-81.0,-255.0,-255.0
1667897346582.0,-612.61,-429.52,98.92,-83.0,-80.0,-71.0,-79.0,-81.0,-58.0,-65.0,-71.0,-52.0,-78.0,-69.0,-54.0,-59.0,-58.0,-58.0,-62.0,-61.0,-63.0,-66.0,-54.0,-255.0,-81.0,-255.0,-83.0,-255.0
1667897346919.0,-615.83,-460.72,94.49,-81.0,-78.0,-73.0,-49.0,-77.0,-74.0,-65.0,-57.0,-62.0,-72.0,-64.0,-75.0,-70.0,-61.0,-57.0,-60.0,-60.0,-64.0,-61.0,-75.0,-78.0,-77.0,-82.0,-255.0,-77.0
1667897347258.0,-596.12,-535.43,101.39,-81.0,-80.0,-65.0,-80.0,-81.0,-63.0,-62.0,-61.0,-55.0,-78.0,-70.0,-64.0,-54.0,-60.0,-59.0,-62.0,-59.0,-63.0,-69.0,-255.0,-255.0,-255.0,-80.0,-255.0,-255.0
